actor_id,actor_name
171574,Chuck Montgomery
122241,Dave Simonds
188244,Pamela Stewart
94430,Erica Gimpel
2053,Bill Paxton
33,Gary Sinise
8183,Kathleen Quinlan
8184,Mary Kate Schellhardt
8185,Emily Ann Lloyd
8186,Miko Hughes
8187,Max Elliott Slade
4431,Jessica Lange
5049,John Hurt
1248,Brian Cox
973,Jason Flemyng
53815,Andrew Keir
1834,Shirley Henderson
18280,Brian McCardie
3127,Lili Taylor
18750,Annabella Sciorra
36190,Edie Falco
3137,Paul Calderon
2176,Tommy Lee Jones
5577,Chris O'Donnell
3796,Michael Gough
3798,Pat Hingle
69597,Drew Barrymore
5578,Debi Mazar
5579,Elizabeth Sanders
50,Catherine Deneuve
3784,Michel Piccoli
9762,Jean Sorel
9763,Geneviève Page
17577,Pierre Clémenti
9765,Françoise Fabian
9766,Macha Méril
9767,Georges Marchal
